x - server1,y - server1,x - server2,y - server2,x - server3,y - server3,x - server4,y - server4,x - server5,y - server5,x - server6,y - server6,x - server7,y - server7,x - server8,y - server8,x - server9,y - server9,x - server10,y - server10
2.883773638501251346e-01,1.222669724597724716e+00,9.730357225928295550e-01,1.666928105120407677e+00,7.439809391286766882e-01,6.188060317763104390e-01,1.627457601649871188e+00,4.326125675013136607e-01,1.350159745602668826e+00,1.007538299550632566e+00,1.619735909474246949e+00,1.589581894367775750e+00,2.574833221193621458e-01,1.262621619415595697e+00,1.725621524929236816e+00,3.620612765705097380e-01,1.309098027252628138e-01,1.074562896513973742e+00,2.000000000000000000e+02,2.000000000000000000e+02
2.883773638501251346e-01,1.222669724597724716e+00,9.730357225928295550e-01,1.666928105120407677e+00,7.439809391286766882e-01,6.188060317763104390e-01,1.627457601649871188e+00,4.326125675013136607e-01,1.350159745602668826e+00,1.007538299550632566e+00,1.619735909474246949e+00,1.589581894367775750e+00,2.574833221193621458e-01,1.262621619415595697e+00,1.725621524929236816e+00,3.620612765705097380e-01,1.309098027252628138e-01,1.074562896513973742e+00,2.000000000000000000e+02,2.000000000000000000e+02
2.883773638501251346e-01,1.222669724597724716e+00,9.730357225928295550e-01,1.666928105120407677e+00,7.439809391286766882e-01,6.188060317763104390e-01,1.627457601649871188e+00,4.326125675013136607e-01,1.350159745602668826e+00,1.007538299550632566e+00,1.619735909474246949e+00,1.589581894367775750e+00,2.574833221193621458e-01,1.262621619415595697e+00,1.725621524929236816e+00,3.620612765705097380e-01,1.309098027252628138e-01,1.074562896513973742e+00,2.000000000000000000e+02,2.000000000000000000e+02
2.883773638501251346e-01,1.222669724597724716e+00,9.730357225928295550e-01,1.666928105120407677e+00,7.439809391286766882e-01,6.188060317763104390e-01,1.627457601649871188e+00,4.326125675013136607e-01,1.350159745602668826e+00,1.007538299550632566e+00,1.619735909474246949e+00,1.589581894367775750e+00,2.574833221193621458e-01,1.262621619415595697e+00,1.725621524929236816e+00,3.620612765705097380e-01,1.309098027252628138e-01,1.074562896513973742e+00,2.000000000000000000e+02,2.000000000000000000e+02
2.883773638501251346e-01,1.222669724597724716e+00,9.730357225928295550e-01,1.666928105120407677e+00,7.439809391286766882e-01,6.188060317763104390e-01,1.627457601649871188e+00,4.326125675013136607e-01,1.350159745602668826e+00,1.007538299550632566e+00,1.619735909474246949e+00,1.589581894367775750e+00,2.574833221193621458e-01,1.262621619415595697e+00,1.725621524929236816e+00,3.620612765705097380e-01,1.309098027252628138e-01,1.074562896513973742e+00,2.000000000000000000e+02,2.000000000000000000e+02
2.883773638501251346e-01,1.222669724597724716e+00,9.730357225928295550e-01,1.666928105120407677e+00,7.439809391286766882e-01,6.188060317763104390e-01,1.627457601649871188e+00,4.326125675013136607e-01,1.350159745602668826e+00,1.007538299550632566e+00,1.619735909474246949e+00,1.589581894367775750e+00,2.574833221193621458e-01,1.262621619415595697e+00,1.725621524929236816e+00,3.620612765705097380e-01,1.309098027252628138e-01,1.074562896513973742e+00,2.000000000000000000e+02,2.000000000000000000e+02
2.883773638501251346e-01,1.222669724597724716e+00,9.730357225928295550e-01,1.666928105120407677e+00,7.439809391286766882e-01,6.188060317763104390e-01,1.627457601649871188e+00,4.326125675013136607e-01,1.350159745602668826e+00,1.007538299550632566e+00,1.619735909474246949e+00,1.589581894367775750e+00,2.574833221193621458e-01,1.262621619415595697e+00,1.725621524929236816e+00,3.620612765705097380e-01,1.309098027252628138e-01,1.074562896513973742e+00,2.000000000000000000e+02,2.000000000000000000e+02
2.883773638501251346e-01,1.222669724597724716e+00,9.730357225928295550e-01,1.666928105120407677e+00,7.439809391286766882e-01,6.188060317763104390e-01,1.627457601649871188e+00,4.326125675013136607e-01,1.350159745602668826e+00,1.007538299550632566e+00,1.619735909474246949e+00,1.589581894367775750e+00,2.574833221193621458e-01,1.262621619415595697e+00,1.725621524929236816e+00,3.620612765705097380e-01,1.309098027252628138e-01,1.074562896513973742e+00,2.000000000000000000e+02,2.000000000000000000e+02
2.883773638501251346e-01,1.222669724597724716e+00,9.730357225928295550e-01,1.666928105120407677e+00,7.439809391286766882e-01,6.188060317763104390e-01,1.627457601649871188e+00,4.326125675013136607e-01,1.350159745602668826e+00,1.007538299550632566e+00,1.619735909474246949e+00,1.589581894367775750e+00,2.574833221193621458e-01,1.262621619415595697e+00,1.725621524929236816e+00,3.620612765705097380e-01,1.309098027252628138e-01,1.074562896513973742e+00,2.000000000000000000e+02,2.000000000000000000e+02
2.883773638501251346e-01,1.222669724597724716e+00,9.730357225928295550e-01,1.666928105120407677e+00,7.439809391286766882e-01,6.188060317763104390e-01,1.627457601649871188e+00,4.326125675013136607e-01,1.350159745602668826e+00,1.007538299550632566e+00,1.619735909474246949e+00,1.589581894367775750e+00,2.574833221193621458e-01,1.262621619415595697e+00,1.725621524929236816e+00,3.620612765705097380e-01,1.309098027252628138e-01,1.074562896513973742e+00,2.000000000000000000e+02,2.000000000000000000e+02
